,model_type,region,baseline_response,training_score,testing_score,baseline,model_success,best_params
0,logreg,Europe,no accomodation,0.995819397993311,0.9298245614035088,0.9220480668756531,no,"{'log__penalty': 'l2', 'log__solver': 'liblinear'}"
1,logreg,Europe,no arrests,0.9765886287625418,0.9039264828738512,0.8854754440961338,no,"{'log__penalty': 'l1', 'log__solver': 'liblinear'}"
2,logreg,Europe,no beatings,0.9908026755852842,0.9649122807017544,0.967816091954023,no,"{'log__penalty': 'l1', 'log__solver': 'liblinear'}"
3,logreg,Europe,no crowd_dispersal,0.9729654403567447,0.8621553884711779,0.7684430512016719,yes,"{'log__penalty': 'l1', 'log__solver': 'liblinear'}"
4,logreg,Europe,ignore,0.9916387959866221,0.83375104427736,0.6764890282131661,yes,"{'log__penalty': 'l2', 'log__solver': 'liblinear'}"
5,logreg,Europe,no killings,0.999721293199554,0.9941520467836257,0.9928944618599791,no,"{'log__penalty': 'l2', 'log__solver': 'liblinear'}"
6,logreg,Europe,no shootings,0.9991638795986622,0.9899749373433584,0.9914315569487984,no,"{'log__penalty': 'l2', 'log__solver': 'liblinear'}"
7,logreg,Africa,no accomodation,0.9783950617283951,0.8771466314398944,0.8733884297520661,no,"{'log__penalty': 'l1', 'log__solver': 'liblinear'}"
8,logreg,Africa,no arrests,0.9731040564373897,0.8890356671070013,0.8320661157024793,yes,"{'log__penalty': 'l1', 'log__solver': 'liblinear'}"
9,logreg,Africa,no beatings,0.9841269841269841,0.9128137384412153,0.9226446280991736,no,"{'log__penalty': 'l1', 'log__solver': 'liblinear'}"
10,logreg,Africa,no crowd_dispersal,0.972663139329806,0.7793923381770145,0.5639669421487603,yes,"{'log__penalty': 'l1', 'log__solver': 'liblinear'}"
11,logreg,Africa,no ignore,0.9986772486772487,0.8058124174372523,0.5857851239669422,yes,"{'log__penalty': 'l2', 'log__solver': 'liblinear'}"
12,logreg,Africa,no killings,1.0,0.9273447820343461,0.8981818181818182,no,"{'log__penalty': 'l2', 'log__solver': 'liblinear'}"
13,logreg,Africa,no shootings,0.9845679012345679,0.9101717305151915,0.871404958677686,no,"{'log__penalty': 'l1', 'log__solver': 'liblinear'}"
14,logreg,Asia,no accomodation,0.9731232622798888,0.8569444444444444,0.8756080611535789,no,"{'log__penalty': 'l2', 'log__solver': 'liblinear'}"
15,logreg,Asia,no arrests,0.9318813716404077,0.8527777777777777,0.8485059068797776,no,"{'log__penalty': 'l1', 'log__solver': 'liblinear'}"
16,logreg,Asia,no beatings,0.9782205746061168,0.9291666666666667,0.9204308547602502,no,"{'log__penalty': 'l2', 'log__solver': 'liblinear'}"
